name,city,county,area,enrollment,championship_group,division_area,source,old_class,program_id,private,source_territory,notes
Halbrook,Halbrook,Halbrook,Halbrook Basin,2444.0,9A,JHSAA,current,9A,Halbrook|girls,0,,
Coyote Bend,Valderra,Ferris,Gold Valley,2436.0,9A,JHSAA,current,9A,Valderra Aviation and Engineering Academy|girls,0,,
Forest Park,Serrano,Halbrook,Halbrook Basin,2427.0,9A,JHSAA,current,9A,Edith Mercer|girls,0,,
Cortland,Cortland,Ferris,Gold Valley,2420.0,9A,JHSAA,current,9A,Cortland|girls,0,,
Charlotte,Loomis City,Camas,Ashbury Metro,2411.0,9A,JHSAA,current,9A,Loomis City North|girls,0,,
Bienville,San Borondón,San Marcos,Sebastian Cape,2410.0,9A,JHSAA,current,9A,Redwood Coast|girls,0,,
Benton Park,Santa Michaela,Bidwell,Selquah,2409.0,9A,JHSAA,current,9A,Hazel Bennett|girls,0,,
Twin Mills,Mercer City,Ferris,Gold Valley,2409.0,9A,JHSAA,current,9A,Mercer City Technical Arts Academy|girls,0,,
Rockridge,Belmonte,Halbrook,Halbrook Basin,2388.0,9A,JHSAA,current,9A,Nicolás Ordoñez|girls,0,,
Shasta Agricultural,Valderra,Ferris,Gold Valley,2384.0,9A,JHSAA,current,9A,Lars Mercier|girls,0,,
Mickey Mantle,Belyakov,Vance,Halbrook Basin,2383.0,9A,JHSAA,current,9A,Belyakov Agricultural Sciences Academy|girls,0,,
Round Mountain Grange,Santa Michaela,Bidwell,Selquah,2372.0,9A,JHSAA,current,9A,Jeannette Freeman|girls,0,,
Tippecanoe,Belmonte,Halbrook,Halbrook Basin,2361.0,9A,JHSAA,current,9A,Rosa Castañeda|girls,0,,
Basin Gate,Halbrook,Halbrook,Halbrook Basin,2360.0,9A,JHSAA,current,9A,Halbrook Technical|girls,0,,
Keeler,Belmonte,Halbrook,Halbrook Basin,2360.0,9A,JHSAA,current,9A,Belmonte Civic Leadership Academy|girls,0,,
Siskiyou Electric,Serrano,Halbrook,Halbrook Basin,2359.0,9A,JHSAA,current,9A,Nicolás Salcedo|girls,0,,
Tower Grove,Serrano,Halbrook,Halbrook Basin,2359.0,9A,JHSAA,current,9A,Beatriz Zamora|girls,0,,
Foundry,Lake Esperanza,Ferris,Gold Valley,2352.0,9A,JHSAA,current,9A,Foundry High|girls,0,,
James Monroe,Port Veles,Bidwell,Selquah,2348.0,9A,JHSAA,current,9A,Galina Markov|girls,0,,
Sparrowhawk,Belmonte,Halbrook,Halbrook Basin,2332.0,9A,JHSAA,current,9A,Nerea Mendizabal|girls,0,,
Los Feliz,Llerena,Halbrook,Halbrook Basin,2328.0,9A,JHSAA,current,9A,Javier Villalba|girls,0,,
Bannock,Belyakov,Vance,Halbrook Basin,2322.0,9A,JHSAA,current,9A,Carmen Cordero|girls,0,,
Snowline,Fort Carden,Tamarack,Cascade Divide,2316.0,9A,JHSAA,current,9A,Snowline|girls,0,,
Carondelet,Santa Michaela,Bidwell,Selquah,2309.0,9A,JHSAA,current,9A,Anneliese Ricci|girls,0,,
Lyndon B. Johnson,Mercer City,Ferris,Gold Valley,2300.0,9A,JHSAA,current,9A,Amos Cross|girls,0,,
Southern Pacific Tech,Mercer City,Ferris,Gold Valley,2292.0,9A,JHSAA,current,9A,Petra Jansen|girls,0,,
Morgan Park,Puerto de los Reyes,San Marcos,Sebastian Cape,2281.0,9A,JHSAA,current,9A,Alejandro Zamora|girls,0,,
Friendship City,Belyakov,Vance,Halbrook Basin,2279.0,9A,JHSAA,current,9A,Belyakov Environmental Sciences Academy|girls,0,,
Orchard Hill,Valderra,Ferris,Gold Valley,2273.0,9A,JHSAA,current,9A,Orchard Hill|girls,0,,
Weller,Fort Meriwether,Weller,Selquah,2271.0,9A,JHSAA,current,9A,Klara Marchand|girls,0,,
Dolores Huerta,Los Robles,Marlow,Ashbury Metro,2239.0,9A,JHSAA,current,9A,Dolores Huerta|girls,0,,
Mission Bay,San Borondón,San Marcos,Sebastian Cape,2238.0,9A,JHSAA,current,9A,Mission Bay|girls,0,,
Rogers Park,Valderra,Ferris,Gold Valley,2233.0,9A,JHSAA,current,9A,Winifred Browne|girls,0,,
Vista Terrace,Ashbury,Marlow,Ashbury Metro,2227.0,9A,JHSAA,current,9A,Vista Terrace|girls,0,,
Pennsauke,Belyakov,Vance,Halbrook Basin,2224.0,9A,JHSAA,current,9A,Yelena Belov|girls,0,,
Ashbury Central,Ashbury,Marlow,Ashbury Metro,2221.0,9A,JHSAA,current,9A,Ashbury Heights|girls,0,,
Octavia Butler,Boyerstown,Marlow,Ashbury Metro,2217.0,9A,JHSAA,current,9A,Octavia Butler|girls,0,,
Pennsauken,Belmonte,Halbrook,Halbrook Basin,2217.0,9A,JHSAA,current,9A,Miren Elorriaga|girls,0,,
Franklin Pierce,Port Veles,Bidwell,Selquah,2213.0,9A,JHSAA,current,9A,Katherine Williams|girls,0,,
Santa Michaela,Santa Michaela,Bidwell,Selquah,2190.0,9A,JHSAA,current,9A,Santa Michaela|girls,0,,
Port Meridian West,Port Meridian,Bidwell,Selquah,2189.0,9A,JHSAA,current,9A,Port Meridian West|girls,0,,
Ronald Reagan,Furrow Crossing,Barlowe,Halbrook Basin,2187.0,9A,JHSAA,current,9A,Ronald Reagan|girls,0,,
Readbury,Port Veles,Bidwell,Selquah,2178.0,9A,JHSAA,current,9A,Thelma Avery|girls,0,,
Jefferson Science,Ashbury,Marlow,Ashbury Metro,2162.0,9A,JHSAA,current,9A,Jefferson School of Science and Technology|girls,0,,
Malpais,Orellana,Vance,Halbrook Basin,2150.0,9A,JHSAA,current,9A,Orellana School of Commerce|girls,0,,
Martin Van Buren,Port Veles,Bidwell,Selquah,2148.0,9A,JHSAA,current,9A,Harbor Gate North|girls,0,,
Breakwater,Fort Meriwether,Weller,Selquah,2143.0,9A,JHSAA,current,8A,Fort Meriwether Breakwater|girls,0,,
Chaparral,Caswell,Halbrook,Halbrook Basin,2140.0,9A,JHSAA,current,8A,Andrew Jackson North|girls,0,,
Cherry Hill North,Caswell,Halbrook,Halbrook Basin,2139.0,9A,JHSAA,current,8A,Caswell Depot High|girls,0,,
Kongisburg,Belyakov,Vance,Halbrook Basin,2132.0,9A,JHSAA,current,8A,Belyakov School of Science and Industry|girls,0,,
Forks Harbor,San Cordero,Tamarack,Cascade Divide,2131.0,9A,JHSAA,current,8A,Ruby Stokes North|girls,0,,
Natchitoches,San Borondón,San Marcos,Sebastian Cape,2128.0,9A,JHSAA,current,8A,Las Palmas North|girls,0,,
Dwight Eisenhower,Valderra,Ferris,Gold Valley,2118.0,9A,JHSAA,current,8A,Valderra Technical Arts Academy|girls,0,,
Pacific Fruit Exchange,Bahía Leal,San Marcos,Sebastian Cape,2117.0,9A,JHSAA,current,8A,Manuel Robles|girls,0,,
Orellana Central,Orellana,Vance,Halbrook Basin,2116.0,9A,JHSAA,current,8A,Orellana|girls,0,,
Golden Gate,Montelago,Ferris,Gold Valley,2090.0,9A,JHSAA,current,8A,Golden Gate|girls,0,,
William Henry Harrison,Port Veles,Bidwell,Selquah,2090.0,9A,JHSAA,current,8A,Henrik Keller|girls,0,,
Tuscaloosa,San Borondón,San Marcos,Sebastian Cape,2082.0,9A,JHSAA,current,8A,Las Palmas|girls,0,,
Madrigal,Madrigal,Halbrook,Halbrook Basin,2062.0,9A,JHSAA,current,8A,Madrigal|girls,0,,
James Baldwin,Perryville,Marlow,Ashbury Metro,2058.0,8A,JHSAA,current,8A,James Baldwin|girls,0,,
Thurgood Marshall,San Cordero,Tamarack,Cascade Divide,2048.0,8A,JHSAA,current,8A,Thurgood Marshall|girls,0,,
Pacific Gate,San Dámaso,Bidwell,Selquah,2043.0,8A,JHSAA,current,8A,Pacific Gate|girls,0,,
Waldo,Cortland,Ferris,Gold Valley,2040.0,8A,JHSAA,current,8A,Oskar Weiss|girls,0,,
Gwendolyn Brooks,San Cordero,Tamarack,Cascade Divide,2032.0,8A,JHSAA,current,8A,Gwendolyn Brooks|girls,0,,
Dry Fork,Ashbury,Marlow,Ashbury Metro,2030.0,8A,JHSAA,current,8A,North Fork|girls,0,,
Caswell,Caswell,Halbrook,Halbrook Basin,2028.0,8A,JHSAA,current,8A,Caswell|girls,0,,
Leonard Coleman,Boyerstown,Marlow,Ashbury Metro,2024.0,8A,JHSAA,current,8A,Leonard Coleman|girls,0,,
Altamonte,Altamonte,Juniper,Juniper Highlands,2015.0,8A,JHSAA,current,8A,Altamonte|girls,0,,
Roosevelt,Port Veles,Bidwell,Selquah,2010.0,8A,JHSAA,current,8A,Nadia Chernov North|girls,0,,
Bell,Port Meridian,Bidwell,Selquah,2009.0,8A,JHSAA,current,8A,Bell|girls,0,,
Fort Carden,Fort Carden,Tamarack,Cascade Divide,2009.0,8A,JHSAA,current,8A,Fort Carden|girls,0,,
Sotavento,San Borondón,San Marcos,Sebastian Cape,2007.0,8A,JHSAA,current,8A,San Borondón Environmental Sciences Academy|girls,0,,
River Oaks,Orellana,Vance,Halbrook Basin,1996.0,8A,JHSAA,current,8A,Alina Antonov|girls,0,,
Lincoln,Belyakov,Vance,Halbrook Basin,1995.0,8A,JHSAA,current,8A,Abraham Lincoln|girls,0,,
Harlan,Santa Cruz del Norte,San Marcos,Sebastian Cape,1990.0,8A,JHSAA,current,8A,Harlan Cole|girls,0,,
Crow Basin,Llerena,Halbrook,Halbrook Basin,1988.0,8A,JHSAA,current,8A,Llerena School of Science and Industry|girls,0,,
Hollywood,Mercer City,Ferris,Gold Valley,1980.0,8A,JHSAA,current,8A,Thomas Halvorsen|girls,0,,
Memorial,Cortland,Ferris,Gold Valley,1970.0,8A,JHSAA,current,8A,Svenja Ekström|girls,0,,
Ben Franklin,Mercer City,Ferris,Gold Valley,1957.0,8A,JHSAA,current,8A,Lillian Stokes|girls,0,,
Lago Vista,Montelago,Ferris,Gold Valley,1955.0,8A,JHSAA,current,8A,Thomas Ekström|girls,0,,
Holy Cross,Port Meridian,Bidwell,Selquah,1949.0,8A,JHSAA,current,8A,Holy Cross|girls,1,,
Washington,Port Veles,Bidwell,Selquah,1947.0,8A,JHSAA,current,8A,Anneliese Halvorsen|girls,0,,
Sunset Hills,Emerson,Halbrook,Halbrook Basin,1937.0,8A,JHSAA,current,8A,Yuri Chernov|girls,0,,
Borough Beach,Belyakov,Vance,Halbrook Basin,1920.0,8A,JHSAA,current,8A,Aitor Zubieta|girls,0,,
Northgate,Halbrook,Halbrook,Halbrook Basin,1917.0,8A,JHSAA,current,8A,Northgate|girls,0,,
Avalon Park,Puerto de los Reyes,San Marcos,Sebastian Cape,1916.0,8A,JHSAA,current,8A,César Peralta|girls,0,,
Dogpatch,Ashbury,Marlow,Ashbury Metro,1909.0,8A,JHSAA,current,8A,Lena Talltree|girls,0,,
Apalachicola,San Borondón,San Marcos,Sebastian Cape,1908.0,8A,JHSAA,current,8A,Imani Cross|girls,0,,
East Moscow,Belyakov,Vance,Halbrook Basin,1894.0,8A,JHSAA,current,8A,Belyakov|girls,0,,
Marshfield Prep,San Borondón,San Marcos,Sebastian Cape,1892.0,8A,JHSAA,current,8A,St. Sophia Preparatory|girls,1,,
Larchmont Ridge,Elk Spur,Juniper,Juniper Highlands,1891.0,8A,JHSAA,current,8A,Larchmont Ridge|girls,0,,
Valderra,Valderra,Ferris,Gold Valley,1888.0,8A,JHSAA,current,8A,Valderra|girls,0,,
Tidegate,Santa Michaela,Bidwell,Selquah,1884.0,8A,JHSAA,current,8A,Santa Michaela Harbor Gate|girls,0,,
Port Meridian North,Port Meridian,Bidwell,Selquah,1877.0,8A,JHSAA,current,8A,Port Meridian Polytechnic|girls,0,,
Longfellow,Lake Esperanza,Ferris,Gold Valley,1862.0,8A,JHSAA,current,8A,Gabriel Zúñiga|girls,0,,
Elysian Valley,Altamonte,Juniper,Juniper Highlands,1854.0,8A,JHSAA,current,8A,Itziar Elorriaga|girls,0,,
Puerto de los Reyes,Puerto de los Reyes,San Marcos,Sebastian Cape,1848.0,8A,JHSAA,current,8A,Puerto de los Reyes|girls,0,,
Anse Doree,Belyakov,Vance,Halbrook Basin,1835.0,8A,JHSAA,current,8A,Belyakov Depot High|girls,0,,
Bowerstock,Belmonte,Halbrook,Halbrook Basin,1827.0,8A,JHSAA,current,8A,Yelena Sokolov|girls,0,,
Montclair,Puerto de los Reyes,San Marcos,Sebastian Cape,1824.0,8A,JHSAA,current,8A,Sofía Aranda|girls,0,,
Montelago,Montelago,Ferris,Gold Valley,1814.0,8A,JHSAA,current,8A,Montelago|girls,0,,
Jefferson Park,Fort Carden,Tamarack,Cascade Divide,1806.0,8A,JHSAA,current,8A,Eleanor Cole|girls,0,,
Shirley Chisholm,Belmonte,Halbrook,Halbrook Basin,1789.0,8A,JHSAA,current,8A,Shirley Chisholm|girls,0,,
Archbishop Gregory,Puerto de los Reyes,San Marcos,Sebastian Cape,1778.0,8A,JHSAA,current,8A,Oksana Romanov|girls,1,,
Chillicothe,Belmonte,Halbrook,Halbrook Basin,1778.0,8A,JHSAA,current,8A,Belmonte River Plain|girls,0,,
Senator Gray,Altamonte,Juniper,Juniper Highlands,1776.0,8A,JHSAA,current,8A,Altamonte Civic Leadership Academy|girls,0,,
North Coast Packing,Moriarty,Ferris,Gold Valley,1762.0,8A,JHSAA,current,8A,Lillian Price|girls,0,,
Malcolm X Shabazz,San Borondón,San Marcos,Sebastian Cape,1751.0,8A,JHSAA,current,8A,Sergei Belov|girls,0,,
Ironwood Flats,Caswell,Halbrook,Halbrook Basin,1747.0,8A,JHSAA,current,8A,Tatiana Moroz North|girls,0,,
Quarry Workers,Puerto de los Reyes,San Marcos,Sebastian Cape,1745.0,8A,JHSAA,current,8A,Rosa Salcedo|girls,0,,
Temescal,Starlight,Halbrook,Halbrook Basin,1745.0,8A,JHSAA,current,8A,Nicolás Villalba|girls,0,,
Seawall,Port Veles,Bidwell,Selquah,1719.0,8A,JHSAA,current,8A,Port Veles Foundry High|girls,0,,
Red Mesa,Valderra,Ferris,Gold Valley,1713.0,8A,JHSAA,current,8A,Clara Cross|girls,0,,
Westover,Los Robles,Marlow,Ashbury Metro,1713.0,8A,JHSAA,current,8A,Westover|girls,0,,
Pioneer Electric,Montelago,Ferris,Gold Valley,1710.0,8A,JHSAA,current,8A,Rafael Escobedo|girls,0,,
Cherry Hill South,Caswell,Halbrook,Halbrook Basin,1706.0,8A,JHSAA,current,8A,Caswell I-50 Technical|girls,0,,
Zachary Taylor,Port Veles,Bidwell,Selquah,1685.0,8A,JHSAA,current,8A,Igor Chernov|girls,0,,
Sherwood Bench,Ashbury,Marlow,Ashbury Metro,1654.0,8A,JHSAA,current,8A,St. Sebastian Prep North|girls,0,,
Okefenokee,Belmonte,Halbrook,Halbrook Basin,1652.0,8A,JHSAA,current,8A,Javier Alvarado|girls,0,,
Xavier College Prep,Mercer City,Ferris,Gold Valley,1646.0,8A,JHSAA,current,8A,Harlan Tillman|girls,1,,
Chesapeake,Port Veles,Bidwell,Selquah,1638.0,8A,JHSAA,current,8A,Sofia Romanov|girls,0,,
Cape Jean,Caswell,Halbrook,Halbrook Basin,1636.0,8A,JHSAA,current,7A,Adela Villaseñor|girls,0,,
Petoskey Rock,Belyakov,Vance,Halbrook Basin,1634.0,8A,JHSAA,current,7A,Amalia Escobedo|girls,0,,
Bellarmine Prep,Serrano,Halbrook,Halbrook Basin,1632.0,8A,JHSAA,current,7A,Edith Hart|girls,1,,
Olivet County,Bracken,Olivet,Yarrowmere,1632.0,8A,JHSAA,current,7A,Olivet County|girls,0,,
Narragansett,Port Veles,Bidwell,Selquah,1630.0,8A,JHSAA,current,7A,Roscoe Bennett North|girls,0,,
Trois Ilets,Belyakov,Vance,Halbrook Basin,1629.0,8A,JHSAA,current,7A,José Martí|girls,0,,
Mercer City,Mercer City,Ferris,Gold Valley,1625.0,8A,JHSAA,current,7A,Mercer City|girls,0,,
Commonwealth,St. Varian,Marlow,Ashbury Metro,1613.0,8A,JHSAA,current,7A,Commonwealth|girls,0,,
Brookmont,Ansotegui Siding,Camas,Ashbury Metro,1596.0,8A,JHSAA,current,7A,Brookmont|girls,0,,
Indigo Rim,Serrano,Halbrook,Halbrook Basin,1588.0,8A,JHSAA,current,7A,Indigo Rim|girls,0,,
North San Francisco,North San Francisco,Ferris,Gold Valley,1587.0,8A,JHSAA,current,7A,Cedarport|girls,0,,
Veles Harbor,Port Veles,Bidwell,Selquah,1582.0,8A,JHSAA,current,7A,Nathaniel Cross|girls,0,,
Santa Cruz del Norte,Santa Cruz del Norte,San Marcos,Sebastian Cape,1581.0,8A,JHSAA,current,7A,Santa Cruz del Norte|girls,0,,
Selbyville,Selbyville,Camas,Ashbury Metro,1579.0,8A,JHSAA,current,7A,Selbyville|girls,0,,
Tallulah Central,Ashbury,Marlow,Ashbury Metro,1577.0,8A,JHSAA,current,7A,Ashbury Central|girls,0,,
St. Francis Catholic,Los Robles,Marlow,Ashbury Metro,1575.0,8A,JHSAA,current,7A,Amos Moss|girls,1,,
Cook City,Cook City,Featherstone,Southern Jefferson,1568.0,8A,JHSAA,current,7A,Ewart City|girls,0,,
Klamath Exchange,San Cordero,Tamarack,Cascade Divide,1564.0,8A,JHSAA,current,7A,Ruby Stokes|girls,0,,
Azurite,Copper Lake,Camas,Ashbury Metro,1550.0,8A,JHSAA,current,7A,Copper Lake West|girls,0,,
Serenity Valley,Valderra,Ferris,Gold Valley,1550.0,8A,JHSAA,current,7A,Thelma Moss North|girls,0,,
Pinebluffs,Ansotegui Siding,Camas,Ashbury Metro,1548.0,8A,JHSAA,current,7A,Ansotegui Siding Commonwealth|girls,0,,
Junction,Ashbury,Marlow,Ashbury Metro,1547.0,8A,JHSAA,current,7A,Academy of Arts and Communication|girls,0,,
Mission Terrace,Norview,Marlow,Ashbury Metro,1544.0,8A,JHSAA,current,7A,Mission Terrace|girls,0,,
Juniper Agricultural,Cortland,Ferris,Gold Valley,1539.0,8A,JHSAA,current,7A,Nathaniel Ward|girls,0,,
Maxwell Park,San Telmo,Ferris,Gold Valley,1537.0,7A,JHSAA,current,7A,Walter Langston|girls,0,,
Vespertine,Vespertine,Sablewood,Gold Valley,1534.0,7A,JHSAA,current,7A,Vespertine|girls,0,,
Vicksburg,San Borondón,San Marcos,Sebastian Cape,1533.0,7A,JHSAA,current,7A,Daniel Gaines|girls,0,,
St. Agnes Academy,Belyakov,Vance,Halbrook Basin,1527.0,7A,JHSAA,current,7A,St. Agnes Academy|girls,1,,
Swiss Hills Prep,Port Veles,Bidwell,Selquah,1520.0,7A,JHSAA,current,7A,St. Helena College Prep|girls,1,,
Sluice Crossing,Sluice Crossing,Goldbank,Southern Jefferson,1519.0,7A,JHSAA,current,7A,Sluice Crossing|girls,0,,
Albany Park,Fort Carden,Tamarack,Cascade Divide,1518.0,7A,JHSAA,current,7A,Winifred Booker|girls,0,,
Lost River Irrigation,Los Robles,Marlow,Ashbury Metro,1518.0,7A,JHSAA,current,7A,Winifred Davenport|girls,0,,
Covenant,Calder,Rimrock,Juniper Highlands,1501.0,7A,JHSAA,current,7A,Nicolás Quiñones|girls,0,,
Starlight,Starlight,Halbrook,Halbrook Basin,1498.0,7A,JHSAA,current,7A,Starlight|girls,0,,
Copper Lake,Copper Lake,Camas,Ashbury Metro,1489.0,7A,JHSAA,current,7A,Copper Lake|girls,0,,
Pendleton Heights,Moriarty,Ferris,Gold Valley,1489.0,7A,JHSAA,current,7A,Ruby Mercer|girls,0,,
Bywater,Montelago,Ferris,Gold Valley,1487.0,7A,JHSAA,current,7A,Matteo Dahl|girls,0,,
Orchard Union,San Telmo,Ferris,Gold Valley,1474.0,7A,JHSAA,current,7A,San Telmo Agricultural Sciences Academy|girls,0,,
Crown Hill,Rye,Marlow,Ashbury Metro,1473.0,7A,JHSAA,current,7A,Crown Hill|girls,0,,
Hagerstown,Belmonte,Halbrook,Halbrook Basin,1472.0,7A,JHSAA,current,7A,James Madison North|girls,0,,
Delbarton,Halbrook,Halbrook,Halbrook Basin,1471.0,7A,JHSAA,current,7A,Delbarton|girls,1,,
Ditch Fork,Ditch Fork,Goldbank,Southern Jefferson,1462.0,7A,JHSAA,current,7A,Ditch Fork|girls,0,,
Christian Brothers,San Borondón,San Marcos,Sebastian Cape,1461.0,7A,JHSAA,current,7A,Nikolai Markov|girls,1,,
Rumsfeld Hill,San Borondón,San Marcos,Sebastian Cape,1457.0,7A,JHSAA,current,7A,San Borondón Civic Academy|girls,1,,
James Madison,Belmonte,Halbrook,Halbrook Basin,1453.0,7A,JHSAA,current,7A,Belmonte Classical Academy|girls,0,,
Alameda,Ashbury,Marlow,Ashbury Metro,1447.0,7A,JHSAA,current,7A,Ashbury East|girls,0,,
Alder Crossing,Boyerstown,Marlow,Ashbury Metro,1444.0,7A,JHSAA,current,7A,Boyerstown North|girls,0,,
Lighthouse,Fort Meriwether,Weller,Selquah,1441.0,7A,JHSAA,current,7A,Breakwater North|girls,0,,
Olive Head,Olive Head,Kernwood,Yarrowmere,1423.0,7A,JHSAA,current,7A,Olive Head|girls,0,,
Squier Park,Montelago,Ferris,Gold Valley,1422.0,7A,JHSAA,current,7A,Isaiah Price|girls,0,,
Mesa Cooperative,Santa Cruz del Norte,San Marcos,Sebastian Cape,1421.0,7A,JHSAA,current,7A,Winifred Stokes|girls,0,,
Benjamin Banneker,Belmonte,Halbrook,Halbrook Basin,1420.0,7A,JHSAA,current,7A,Benjamin Banneker|girls,0,,
El Sereno,Bahía Leal,San Marcos,Sebastian Cape,1420.0,7A,JHSAA,current,7A,Isabel Lucero|girls,0,,
Prairie Union,Halbrook,Halbrook,Halbrook Basin,1418.0,7A,JHSAA,current,7A,Halbrook Union|girls,0,,
Lakewood,San Cordero,Tamarack,Cascade Divide,1416.0,7A,JHSAA,current,7A,Gwendolyn Brooks North|girls,0,,
Port Meridian South,Port Meridian,Bidwell,Selquah,1405.0,7A,JHSAA,current,7A,Port Meridian South|girls,0,,
Romare Bearden,Serrano,Halbrook,Halbrook Basin,1402.0,7A,JHSAA,current,7A,Romare Bearden|girls,0,,
Cherry Hill East,Caswell,Halbrook,Halbrook Basin,1398.0,7A,JHSAA,current,7A,Cherry Hill East|girls,0,,
Bellacosta,Bellacosta,Ferris,Gold Valley,1397.0,7A,JHSAA,current,7A,Bellacosta|girls,0,,
Bahía Leal,Bahía Leal,San Marcos,Sebastian Cape,1384.0,7A,JHSAA,current,7A,Bahía Leal|girls,0,,
Bellefontaine,Belyakov,Vance,Halbrook Basin,1376.0,7A,JHSAA,current,7A,Orchard Gate|girls,0,,
Sacred Heart Cathedral,Santa Michaela,Bidwell,Selquah,1371.0,7A,JHSAA,current,7A,Zoya Orlov|girls,1,,
Tensas,San Borondón,San Marcos,Sebastian Cape,1371.0,7A,JHSAA,current,7A,Daniel Gaines North|girls,0,,
Morne Rouge,Belyakov,Vance,Halbrook Basin,1370.0,7A,JHSAA,current,7A,Lorraine Calder|girls,0,,
Canyonlands,Arrieta,Halbrook,Halbrook Basin,1361.0,7A,JHSAA,current,7A,Arrieta Treasure Valley|girls,0,,
Kettle Ridge,Port Meridian,Bidwell,Selquah,1359.0,7A,JHSAA,current,7A,Kettle Ridge|girls,0,,
Observatory,Starlight,Halbrook,Halbrook Basin,1357.0,7A,JHSAA,current,7A,Starlight School of Science and Industry|girls,0,,
Ortega Terrace,Norview,Marlow,Ashbury Metro,1355.0,7A,JHSAA,current,7A,Mission Terrace North|girls,0,,
Reyes Landing,Puerto de los Reyes,San Marcos,Sebastian Cape,1352.0,7A,JHSAA,current,7A,Puerto de los Reyes School of Commerce|girls,0,,
Lone Pine Mutual,Lake Esperanza,Ferris,Gold Valley,1350.0,7A,JHSAA,current,7A,Thomas Jansen|girls,0,,
Los Robles,Los Robles,Marlow,Ashbury Metro,1350.0,7A,JHSAA,current,7A,Los Robles|girls,0,,
Benjamin Harrison,Port Veles,Bidwell,Selquah,1348.0,7A,JHSAA,current,7A,Marina Moroz North|girls,0,,
Wicomico,Port Veles,Bidwell,Selquah,1348.0,7A,JHSAA,current,7A,Walter Hart North|girls,0,,
Clinton,Port Veles,Bidwell,Selquah,1346.0,7A,JHSAA,current,7A,Port Veles East|girls,0,,
Malheur Flat,Lake Esperanza,Ferris,Gold Valley,1343.0,7A,JHSAA,current,7A,Lake Esperanza South|girls,0,,
