name,city,county,area,enrollment,championship_group,division_area,source,old_class,program_id,private,source_territory,notes
Star Valley Catholic,Afton,Star Valley,Bear River Country,500.0,Division 2,Great Basin,new_territory,,EXP-GC27,1,"Lincoln County, Wyoming",
Copper Bar,Copper Bar,Lodestone,Millersylvania,480.0,Division 2,Great Basin,activation,,EXP-GA09,0,,
Cutbank,Cutbank,Windrow,Millersylvania,470.0,Division 2,Great Basin,activation,,EXP-GA11,0,,
Bridger County Christian,Mountain View,Bridger,Bear River Country,460.0,Division 2,Great Basin,new_territory,,EXP-GC30,1,"Uinta County, Wyoming",
Eden County Christian,Eden,Eden,Snake River Plain,420.0,Division 2,Great Basin,new_territory,,EXP-GC06,1,"Jerome County, Idaho",
Cub River Catholic,Weston,Cub River,Bear River Country,410.0,Division 2,Great Basin,new_territory,,EXP-GC15,1,"Franklin County, Idaho",
Raft County Catholic,Malta,Raft,Snake River Plain,390.0,Division 2,Great Basin,new_territory,,EXP-GC09,1,"Cassia County, Idaho",
Malad County Christian,Malad City,Malad,Bear River Country,360.0,Division 2,Great Basin,new_territory,,EXP-GC12,1,"Oneida County, Idaho",
Beargrass Christian,Georgetown,Beargrass,Bear River Country,330.0,Division 2,Great Basin,new_territory,,EXP-GC18,1,"Bear Lake County, Idaho",
Mabry Township,Mabry,Stagewater,Kangas,310.0,Division 2,Great Basin,activation,,EXP-GA05,0,,renamed from proposed Mabry school name to distinguish Mabryville
Naylors Landing,Naylors Landing,Stagewater,Kangas,290.0,Division 2,Great Basin,activation,,EXP-GA04,0,,
Laketown County Christian,Laketown,Laketown,Bear River Country,280.0,Division 2,Great Basin,new_territory,,EXP-GC24,1,"Rich County, Utah",
Ashbrook,Ashbrook,Emigrant,Kangas,180.0,Division 2,Great Basin,activation,,EXP-GA02,0,,
Silver Junction,Silver Junction,Stagewater,Kangas,160.0,Division 2,Great Basin,activation,,EXP-GA06,0,,
Doyleville Union,Doyleville,Windrow,Millersylvania,150.0,Division 2,Great Basin,activation,,EXP-GA12,0,,
